,time,Method,blood,count,aif,backg,bpr,parentFraction,disp_fct,t_G,vol,delta,disp_aif
1,0.016666667,Continuous,1.33565,0,-0.037387879,11.05,0.974284639,0.99999994,0.053382248,0.016666667,0.083333333,1,0
2,0.033333333,Continuous,-0.10881,0,-0.03741385,11.05,0.974170569,0.99999961,-0.655270655,0.033333333,0.083333333,1,0
3,0.05,Continuous,-0.167065,0,-0.180067716,11.05,0.974056499,0.999998835,0.268757669,0.05,0.083333333,1,0
4,0.066666667,Continuous,0.135315,0,-0.180192613,11.05,0.973942429,0.999997466,-0.332557366,0.066666667,0.083333333,1,0
5,0.083333333,Continuous,0.193775,0,-0.037491751,11.05,0.973828359,0.999995371,0.368468585,0.083333333,0.083333333,1,0
6,0.1,Continuous,-0.01876,0,-0.037517697,11.05,0.973714289,0.999992426,-3.81130064,0.1,0.083333333,1,0
7,0.116666667,Continuous,-0.002755,0,-0.109055294,11.05,0.973600219,0.999988515,-4.791288566,0.116666667,0.083333333,1,0
8,0.133333333,Continuous,0.07306,0,-0.07335004,11.05,0.973486149,0.999983529,0.580344922,0.133333333,0.083333333,1,0
9,0.15,Continuous,0.404325,0,-0.073400569,11.05,0.973372079,0.999977362,0.104866135,0.15,0.083333333,1,0
10,0.166666667,Continuous,0.295085,6,0.213187164,11.05,0.973258009,0.999969911,0.934984835,0.166666667,0.083333333,1,0.229927422
11,0.183333333,Continuous,0.067685,1,0.034061645,11.05,0.97314394,0.99996108,1.922139322,0.183333333,0.083333333,1,0.018653363
12,0.2,Continuous,0.114245,3,0.1058428,11.05,0.97302987,0.999950772,1.650838111,0.2,0.083333333,1,0.065201273
13,0.216666667,Continuous,0.371875,0,-0.001795171,11.05,0.9729158,0.999938895,0.271596639,0.216666667,0.083333333,1,0
14,0.233333333,Continuous,0.12753,8,0.285626798,11.05,0.97280173,0.999925359,2.627617031,0.233333333,0.083333333,1,0.109385496
15,0.25,Continuous,0.00781,0,-0.073702265,11.05,0.97268766,0.999910075,5.454545455,0.25,0.083333333,1,0
16,0.266666667,Continuous,0.40294,4,0.142107966,11.05,0.97257359,0.999892956,0.541768005,0.266666667,0.083333333,1,0.265624399
17,0.283333333,Continuous,0.12783,4,0.142204046,11.05,0.97245952,0.999873919,1.708519127,0.283333333,0.083333333,1,0.084285915
18,0.3,Continuous,-0.03777,2,0.070249322,11.05,0.97234545,0.99985288,-4.233518666,0.3,0.083333333,1,-0.017019078
19,0.316666667,Continuous,0.207245,0,-0.037851979,11.05,0.97223138,0.999829757,0.347414895,0.316666667,0.083333333,1,0
20,0.333333333,Continuous,0.32768,4,0.142490929,11.05,0.97211731,0.999804471,0.667724609,0.333333333,0.083333333,1,0.216098987
21,0.35,Continuous,0.204665,3,0.106488327,11.05,0.97200324,0.999776942,0.926391909,0.35,0.083333333,1,0.11689784
22,0.366666667,Continuous,-0.11433,4,0.142680934,11.05,0.97188917,0.999747094,-1.916382402,0.366666667,0.083333333,1,-0.075395715
23,0.383333333,Continuous,0.14743,0,-0.146390097,11.05,0.9717751,0.999714849,-0.10852608,0.383333333,0.083333333,1,0
24,0.4,Continuous,0.618085,5,0.179039408,11.05,0.97166103,0.999680132,0.402371842,0.4,0.083333333,1,0.449454628
25,0.416666667,Continuous,0.68957,7,0.251543961,11.05,0.97154696,0.99964287,0.446220108,0.416666667,0.083333333,1,0.567777259
26,0.433333333,Continuous,3.426115,14,0.50522848,11.05,0.97143289,0.999602987,0.15005334,0.433333333,0.083333333,1,3.379060629
27,0.45,Continuous,9.5195,73,2.643761496,11.05,0.97131882,0.999560414,0.236672094,0.45,0.083333333,1,11.17822336
28,0.466666667,Continuous,17.31883,192,6.960929875,11.05,0.971204751,0.999515076,0.332764973,0.466666667,0.083333333,1,20.92390621
